AARON;M;S/O;S/S
AARONIT;M;S/O;S/S
ABA;F;S/O;S/S
ABACO;M;S/O;S/S
ABALEN;M;S/O;S/S
ABBAS;M;S/O;S/S
ABBIE;F;S/O;S/S
ABBOTT;M;S/O;S/S
ABBY;F;S/O;S/S
ABDALA;M;S/O;S/S
ABDAS;M;S/O;S/S
ABDECALAS;M;S/O;S/S
ABDEL;M;S/O;S/S
ABDERICO;M;S/O;S/S
ABDIAS;M;S/O;S/S
ABDIEL;M;S/O;S/S
ABDIESO;M;S/O;S/S
ABDO;M;S/O;S/S
ABDON;M;HEBREO;SIERVO DE DIOS, HIJO DE HILLE I,  Y ORIUNDO DE PIRATON
ABDUL;M;ARABE;SIERVO DE DIOS.
ABDULLAH;M;S/O;S/S
ABE;M;S/O;S/S
ABEL;M;S/O;S/S
ABELARDO;M;FRANCES;SEMEJANTE A LA ABEJA, RELACION HECHA PORLA LABORIOSIDAD DEL ANIMALITO, EL GRAN TRABAJADOR, VARIACION DE EBERARDO
ABENAMAR;M;S/O;S/S
ABENCIO;M;S/O;S/S
ABENI;F;S/O;S/S
ABERARDO;M;S/O;S/S
ABERCIO;M;GRIEGO;EL PRIMER HIJO
ABEY;M;S/O;S/S
ABHAY;M;S/O;S/S
ABI;A;S/O;S/S
ABIA;F;S/O;S/S
ABIBO;M;S/O;S/S
ABIBON;M;S/O;S/S
ABIE;M;S/O;S/S
ABIEL;M;S/O;S/S
ABIGAIL;F;S/O;S/S
ABIJAH;M;S/O;S/S
ABIJAIL;F;S/O;S/S
ABILIO;M;S/O;S/S
ABIMAEL;M;S/O;S/S
ABIRA;F;S/O;S/S
ABISAI;M;S/O;S/S
ABNER;M;HEBREO;EL PADRE (DIOS), HIJO DE NER, DE LA TRIBUDE BENJAMIN, POR LO TANTO SOBRINO DE SAUL. A SU MUERTE DAVID LE DEDICOUNA HERMOSA LAMENTACION
ABRA;F;S/O;S/S
ABRAHAM;M;HEBREO;"EL PADRE (DIOS) ES EXCELSO, EL PADRE DEMUCHOS PUEBLOS, SE LO LLAMA "" EL HEBREO"" LO QUE SEGUN LA GENEALOGIA BI-BLICA SIGNIFICA DESCENDIENTE DE EBER"
ABRAHAMITAS;M;S/O;S/S
ABRAHAN;M;S/O;S/S
ABRAM;M;S/O;S/S
ABRAN;M;S/O;S/S
ABRIL;F;ETRUSCO;S/S